"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Behavior Pattern Mining: Apply Process Mining Technology to Common Event Logs of Information Systems","J. Song; T. Luo; S. Chen","Ph.D candidate, Graduate University of Chinese Academy of Sciences, No. 19A Yuquan Road, Beijing, P.R.C, Beijing, 100049, China. phone: 86-10-88256663-40; fax: 86-10-88256668; e-mail: songjl@mails.gucas.ac.cn; Professor, Graduate University of Chinese Academy of Sciences, No. 19A Yuquan Road, Beijing, P.R.C, Beijing, 100049, China. e-mail: tjluo@gucas.ac.cn; Ph.D candidate, Graduate University of Chinese Academy of Sciences, No. 19A Yuquan Road, Beijing, P.R.C, Beijing, 100049, China. e-mail: chensu@mails.gucas.ac.cn","2008 IEEE International Conference on Networking, Sensing and Control","20 May 2008","2008","","","1800","1805","Although information systems support a wide range of recreational and social activities, the pattern of users' behavior in such systems is not clear. We extend the process mining technology to work on common event logs that have no workflow cases reference, and name the new technology as behavior pattern mining. This paper gives out a brief survey on issues, challenges, approaches and related tools in behavior pattern mining area, and compares behavior pattern mining with workflow mining technology, which is the other sub field of process mining. To reply the problems proposed by behavior pattern mining, the process mining area gets its new motivation.","","978-1-4244-1685-1","10.1109/ICNSC.2008.4525516","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4525516","","Information systems;Pattern analysis;Collaborative work;Online Communities/Technical Collaboration;Information technology;Space technology;Computer networks;Psychology;Information analysis;Acceleration","behavioural sciences computing;data mining;information systems","behavior pattern mining;common event logs;information systems;process mining technology;workflow mining technology","","6","","23","","20 May 2008","","","IEEE","IEEE Conferences"
"On the Representational Bias in Process Mining","W. M. P. van der Aalst","Dept. of Math. & Comput. Sci., Eindhoven Univ. of Technol., Eindhoven, Netherlands","2011 IEEE 20th International Workshops on Enabling Technologies: Infrastructure for Collaborative Enterprises","18 Aug 2011","2011","","","2","7","Process mining serves a bridge between data mining and business process modeling. The goal is to extract process related knowledge from event data stored in information systems. One of the most challenging process mining tasks is process discovery, i.e., the automatic construction of process models from raw event logs. Today there are dozens of process discovery techniques generating process models using different notations (Petri nets, EPCs, BPMN, heuristic nets, etc.). This paper focuses on the representational bias used by these techniques. We will show that the choice of target model is very important for the discovery process itself. The representational bias should not be driven by the desired graphical representation but by the characteristics of the underlying processes and process discovery techniques. Therefore, we analyze the role of the representational bias in process mining.","1524-4547","978-1-4577-0134-4","10.1109/WETICE.2011.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5990012","","Data mining;Registers;Noise;Data models;Noise measurement;Organizations","business process re-engineering;data mining;information systems","process mining;data mining;business process modeling;information systems;process discovery technique;representational bias","","12","","16","","18 Aug 2011","","","IEEE","IEEE Conferences"
"TOAD: Trace Ordering for Anomaly Detection","F. Richter; Y. Lu; L. Zellner; J. Sontheim; T. Seidl","Ludwig-Maximilians-Universitat München,Münich,Germany; Ludwig-Maximilians-Universitat München,Münich,Germany; Ludwig-Maximilians-Universitat München,Münich,Germany; Ludwig-Maximilians-Universitat München,Münich,Germany; Ludwig-Maximilians-Universitat München,Münich,Germany","2020 2nd International Conference on Process Mining (ICPM)","22 Oct 2020","2020","","","169","176","Outlier detection is one of the most important tasks to keep your processes in control. Unawareness of critical anomalies can lead to exhausting expenses, hence, it is highly beneficial to treat process failures as soon as possible. However, anomalies are difficult to detect due to their rarity though they occur too often to neglect the necessity of its detection. Even if the detection problem is solved, the treatment of singular anomalies and the adjustment of the process based on each abnormal trace is tedious and costly regarding time and money. To increase the efficiency of later anomaly treatment, we propose a novel strategy to detect collective anomalies. However, this is not equivalent to anomaly clustering as a post-processing step. TOAD orders process instances by similarity and detects abnormal accumulations of deviating cases. These collections are abnormal due to their aggregated behavior. Assuming that similar deviations are caused by the same reason, the treatment of such an anomaly is more cost-efficient than the handling of deviating singletons. Applying TOAD to an event log yields a ranking of significant, temporally abnormal trace collections, that provide a baseline for further analysis.","","978-1-7281-9832-3","10.1109/ICPM49681.2020.00033","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9230026","Anomaly Detection, Process Mining, Density based Clustering","Anomaly detection;Task analysis;Optics;Complexity theory;Maintenance engineering;Integrated circuit modeling;Hydraulic systems","data mining;security of data","process failures;anomaly treatment;TOAD;outlier detection;trace ordering for anomaly detection;trace collections","","","","17","","22 Oct 2020","","","IEEE","IEEE Conferences"
"Change Mining in Business Process Variability: A Comparative Study","A. Hmami; H. Sbai; M. Fredj","AlQualsadi research team, ENSIAS, University Mohammed V of Rabat,Morocco; Faculty of sciences and technology, University Hassan II of Casablanca,Mohammedia,Morocco; AlQualsadi research team, ENSIAS, University Mohammed V of Rabat,Morocco","2019 4th World Conference on Complex Systems (WCCS)","12 Dec 2019","2019","","","1","5","Process mining is a new approach that links data analysis techniques and business process management. It aims to allow for an automatic discovery of process, a verification of conformance and enhancement, to create a strong and useful process. This field is enriched by change mining techniques that seek to align processes with business needs. However, most of existing approaches in this context are interested in managing the changes of a single process. Meanwhile, company activities are related to a combination of multiple variants of a process, which is known as a configurable process. In this paper, we conduct a comparative study of existing change mining approaches in business process management field. The purpose of our study is to analyze how the concept of change mining can be related to business process variability.","","978-1-7281-1232-9","10.1109/ICoCS.2019.8930792","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8930792","Process mining;Change mining;Configurable process;Variability","Data mining;Task analysis;Manuals;Companies","business data processing;data analysis;data mining","business process variability;process mining;links data analysis techniques;strong process;useful process;change mining techniques;align processes;configurable process;change mining approaches;business process management field","","","","29","","12 Dec 2019","","","IEEE","IEEE Conferences"
"Visual Drift Detection for Sequence Data Analysis of Business Processes","A. Yeshchenko; C. Di Ciccio; J. Mendling; A. Polyvyanyy","Information Systems and Operations, Vienna University of Economics and Business, 27254 Wien, Wien, Austria, (e-mail: anton.yeshchenko@wu.ac.at); Department of Computer Science, Sapienza University of Rome, 9311 Rome, Rome, Italy, (e-mail: diciccio@di.uniroma1.it); Information Systems and Operations, Vienna University of Economics and Business, 27254 Wien, Wien, Austria, (e-mail: jan.mendling@wu.ac.at); School of Computing and Information Systems, The University of Melbourne, 2281 Melbourne, Victoria, Australia, (e-mail: artem.polyvyanyy@unimelb.edu.au)","IEEE Transactions on Visualization and Computer Graphics","","2021","PP","99","1","1","Event sequence data is increasingly available in various application domains, such as business process management, software engineering, or medical pathways. Processes in these domains are typically represented as process diagrams or flow charts. So far, various techniques have been developed for automatically generating such diagrams from event sequence data. An open challenge is the visual analysis of drift phenomena when processes change over time. In this paper, we address this research gap. Our contribution is a system for fine-granular process drift detection and corresponding visualizations for event logs of executed business processes. We evaluated our system both on synthetic and real-world data. On synthetic logs, we achieved an average F-score of 0.96 and outperformed all the state-of-the-art methods. On real-world logs, we identified all types of process drifts in a comprehensive manner. Finally, we conducted a user study highlighting that our visualizations are easy to use and useful as perceived by process mining experts. In this way, our work contributes to research on process mining, event sequence analysis, and visualization of temporal data.","1941-0506","","10.1109/TVCG.2021.3050071","H2020 Marie Skodowska-Curie Actions(grant numbers:RISE BPM 645751); MIUR grant Dipartimenti di eccellenza 2018-2022; Australian Respiratory Council(grant numbers:DP180102839); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9316994","Sequence data;Visualization;Temporal data;Process mining;Process drifts;Declarative process models","Business;Data visualization;Data mining;Visualization;Erbium;Antibiotics;Guidelines","","","","","","","IEEE","8 Jan 2021","","","IEEE","IEEE Early Access Articles"
"Identifying Software Process Management Challenges: Survey of Practitioners in a Large Global IT Company","M. Gupta; A. Sureka; S. Padmanabhuni; A. M. Asadullah","Indraprastha Inst. of Inf. Technol., Delhi, India; Indraprastha Inst. of Inf. Technol., Delhi, India; Infosys Ltd., Bangalore, India; Infosys Ltd., Bangalore, India","2015 IEEE/ACM 12th Working Conference on Mining Software Repositories","6 Aug 2015","2015","","","346","356","Process mining consists of mining event logs generated from business process execution supported by Information Systems (IS). Process mining of software repositories has diverse applications because vast data is generated during Software Development Life Cycle (SDLC) and archived in IS such as Version Control System (VCS), Peer Code Review (PCR) System, Issue Tracking System (ITS), and mail archives. There is need to explore its applications on different repositories to aid managers in process management. We conduct two phase surveys and interviews with managers in a large, global, IT company. The first survey and in-person interviews identify the process challenges encountered by them that can be addressed by novel applications of process mining. We filter, group and abstract responses formulating 30 generic problem statements. On the basis of process mining type, we classify identified problems to eight categories such as control analysis, organizational analysis, conformance analysis, and preventive analysis. The second survey asks distinct participants the importance of solving identified problems. We calculate proposed Net Importance Metric (NIM) using 1262 ratings from 43 participants. Combined analysis of NIM and first survey responses reveals that the problems mentioned by few practitioners in first survey are considered important by majority in the second survey. We elaborate on possible solutions and challenges for most frequent and important problems. We believe solving these validated problems will help managers in improving project quality and productivity.","2160-1860","978-0-7695-5594-2","10.1109/MSR.2015.39","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7180093","Process Mining;Qualitative Study;Software Development Life Cycle;Software Repositories","Data mining;Software;Process control;Interviews;Measurement;Companies","business process re-engineering;data mining;information systems;information technology;software process improvement","software process management;global IT company;process mining;event logs mining;business process execution;information systems;IS;software development life cycle;SDLC;net importance metric;NIM;project quality;productivity","","1","","32","","6 Aug 2015","","","IEEE","IEEE Conferences"
"Mining batch activation rules from event logs","N. Martin; A. Solti; J. Mendling; B. Depaire; A. Caris","Research group Business Informatics, Hasselt University, Diepenbeek, Limburg Belgium (e-mail: niels.martin@uhasselt.be); Department of Information Systems and Operations, Vienna University of Economics and Business, Wien, Wien Austria (e-mail: solti@ai.wu.ac.at); Information Systems and Operations, WU Vienna, Wien, Wien Austria 1020 (e-mail: jan.mendling@wu.ac.at); Faculty of Business Economics, Hasselt University, Diepenbeek, Limburg Belgium 3590 (e-mail: benoit.depaire@uhasselt.be); Research group Logistics, Hasselt University, Diepenbeek, Limburg Belgium (e-mail: an.caris@uhasselt.be)","IEEE Transactions on Services Computing","","2019","PP","99","1","1","Batch processing refers to an organization of work in which cases are synchronized such that they can be processed as a group. Prior research has studied batch processing mainly from a deductive angle, trying to identify optimal rules for composing batches. As a consequence, we lack methodological support to investigate according to which rules human resources build batches in work settings where batching rules are not strictly enforced. In this paper, we address this research gap by developing a technique to inductively mine batch activation rules from process execution data. The obtained batch activation rules can be used for various purposes, including to explicate the real-life batching behavior of human resources; to determine the compliance between the prescribed and actual batching behavior; or to investigate the influence of alternative batching behavior on service levels. The evaluation of our technique using both synthetic and real-world data demonstrates its effectiveness. With this work we complement prescriptive research on batch processing with a descriptive technique that is empirically grounded in process execution data.","1939-1374","","10.1109/TSC.2019.2912163","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8697128","batch processing;batch activation rules;batching logic;event log;process mining","Batch production systems;Data mining;Blood;Analytical models;Data models;Synchronization;Business","","","","","","","IEEE","23 Apr 2019","","","IEEE","IEEE Early Access Articles"
"Detecting Sudden Drift for Single-Instance Log in Software Development Process","J. Yuan; T. Li; R. Zhu; Z. Ma; J. Peng; Y. Huang",Yunnan University; Yunnan University; Yunnan University; Yunnan University; Yunnan University; Yunnan University,"2020 Prognostics and Health Management Conference (PHM-Besançon)","12 Jun 2020","2020","","","354","359","The current algorithm for detecting drift in the business process can only detect the drift of the log of multi-instance. However, the log generated in the software development process is mainly single-instance. Hence, this paper proposes an algorithm for detecting sudden drift of the log of single-instance. First, we apply the LDA topic model for the topic extraction of log in the software development process to obtain the log of single-instance. Then the location of the drift point of the single-instance log can be detected according to the change of the lowest frequency of direct successor relation. Finally, the location numbers of the actual drift points were obtained by corresponding to original data. Multiple sets of simulated data evaluate this algorithm. The results show that this algorithm can effectively detect the sudden drift location of the single-instance log in the software development process.","2166-5656","978-1-7281-5675-0","10.1109/PHM-Besancon49106.2020.00069","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9115499","software development process, process drift, LDA topic model, single-instance, frequency detection","","business process re-engineering;software engineering","software development process;single-instance log;business process;drift point;sudden drift location;LDA topic model","","","","17","","12 Jun 2020","","","IEEE","IEEE Conferences"
"Estimating Global Completeness of Event Logs: A Comparative Study","J. Pei; L. Wen; H. Yang; J. Wang; X. Ye","School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China; School of Software, Tsinghua University, Beijing, China","IEEE Transactions on Services Computing","9 Apr 2021","2021","14","2","441","457","Event logs are the basis of process mining techniques and tools that extract process behavior information for better understanding and optimization of business processes. While it has been widely realized that the degree of completeness of event logs may largely determine the effectiveness of these techniques, how to estimate the completeness of event logs has not yet been fully addressed. This is mainly because ground-truth process models are usually unknown. To attack this problem, we pay a closer look to several concepts and implicit assumptions in the log completeness estimation problem and characterize it as a special case of the species estimation problem in the field of statistics. Although species estimation is still an open problem, a number of statistic models and techniques with approximate solutions have been available. To investigate the relevance of these methods for event log completeness estimation, we have designed and conducted a wide scope of empirical study and quantitative experiments on both real-world and synthesized event logs to compare the performance of these methods. In addition, the completeness estimation of several important and widely used real-world events logs are reported for the first time together with some best practice experience learned through this research.","1939-1374","","10.1109/TSC.2018.2805912","National Key Research and Development Program of China(grant numbers:2016YFB1001101); National Natural Science Foundation of China(grant numbers:61472207,71690231,61325008); Tsinghua TNList Lab Key Projects; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8291718","Quality and metrics;business process management;process mining;event logs;completeness","Estimation;Task analysis;Measurement;Computational modeling;Algorithm design and analysis;Prediction algorithms","business data processing;data mining","event logs completeness;species estimation problem;log completeness estimation problem;ground-truth process models;business processes;process mining techniques;real-world events logs","","1","","56","IEEE","14 Feb 2018","","","IEEE","IEEE Journals"
"A process tree-based algorithm for the detection of implicit dependencies","M. Chabrol; B. Dalmas; S. Norre; S. Rodier","LIMOS CNRS UMR 6158, Blaise Pascal University, Clermont-Ferrand, France; LIMOS CNRS UMR 6158, Blaise Pascal University, Clermont-Ferrand, France; LIMOS CNRS UMR 6158, Blaise Pascal University, Clermont-Ferrand, France; CRCGM EA 3849, Blaise Pascal University, Clermont-Ferrand, France","2016 IEEE Tenth International Conference on Research Challenges in Information Science (RCIS)","25 Aug 2016","2016","","","1","11","Process Mining aims to extract information from event logs to highlight the underlying business processes. It is useful in situations where there is no detailed and complete knowledge of how an overall system works, such as in a hospital where most processes are complex and ad-hoc. Many Process Mining discovery techniques have been proposed so far, but many challenges are still to be faced. Implicit dependencies are one of them. Choice-related phenomenon, implicit dependencies are not taken into account in most algorithms and graphical representations. In this paper, we propose the Implicit Dependencies Miner, a Process Tree based algorithm able to detect relevant dependencies.","2151-1357","978-1-4799-8710-8","10.1109/RCIS.2016.7549357","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7549357","Process Mining;Implicit Dependencies;Process Tree","Petri nets;Data mining;Logic gates;Context;Unified modeling language;Mathematical model;Information systems","data mining;hospitals;medical information systems;tree data structures","process tree-based algorithm;implicit dependency detection;information extraction;event logs;business processes;hospitals;complex ad-hoc processes;process mining discovery technique;choice-related phenomenon;implicit dependency miner","","2","","24","","25 Aug 2016","","","IEEE","IEEE Conferences"
"Mediating between modeled and observed behavior: The quest for the “right” process: Keynote","W. M. P. van der Aalst","Department of Mathematics and Computer Science, Eindhoven University of Technology PO Box 513, NL-5600 MB Eindhoven, The Netherlands","IEEE 7th International Conference on Research Challenges in Information Science (RCIS)","15 Aug 2013","2013","","","1","12","Operational processes leave trails in the information systems supporting them. Such event data are the starting point for process mining - an emerging scientific discipline relating modeled and observed behavior. Whereas an event log describes example behavior of the underlying process, a process model aims to describe an abstraction of the same process. Models may be descriptive or normative. Descriptive models aim to describe the underlying process and are used for discussion, performance analysis, obtaining insights, and prediction. Normative models describe the desired behavior and are used for workflow management, system configuration, auditing, compliance management, and conformance checking. Differences between modeled and observed behavior may point to undesirable deviations or inadequate models. In this paper, we discuss challenges related to finding the “right” process, i.e., the process model that describes the real underlying process or a process that behaves as desired.","2151-1357","978-1-4673-2914-9","10.1109/RCIS.2013.6577675","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6577675","","Unified modeling language;Data mining;Data models;Computational modeling;Analytical models;Predictive models;Cost function","data mining","information system;modeled behavior;observed behavior;process mining;event log;descriptive model;normative model;workflow management;system configuration;auditing;compliance management;conformance checking","","12","","43","","15 Aug 2013","","","IEEE","IEEE Conferences"
"Online Model Generation for Scalable Predictive Process Monitoring","P. Rico; F. Cuadrado; J. C. Dueñas","Universidad Politécnica de Madrid,Madrid,Spain; Universidad Politécnica de Madrid,Madrid,Spain; Universidad Politécnica de Madrid,Madrid,Spain","2021 International Young Engineers Forum (YEF-ECE)","9 Aug 2021","2021","","","7","12","Predictive process monitoring techniques are intended to forecast outcomes of running process instances. This is achieved through the use of predictive models inferred from past event logs. However, the use of such procedures in scenarios where there is an initial lack of previous data or concept drift can be especially challenging. To overcome those limitations, this paper is focused on enabling online model generation, addressing problems such as uncertainty about process completeness. Further, a scalable streaming system based on Apache Flink platform is built and applied on an incident management system dataset in order to assess prediction performance. The results presented show the capacity of these techniques to support predictive process monitoring.","","978-1-6654-1264-3","10.1109/YEF-ECE52297.2021.9505122","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9505122","process mining;predictive monitoring;streaming system;apache flink","Process monitoring;Uncertainty;Scalability;Computational modeling;Predictive models;Big Data;Data models","","","","","","13","","9 Aug 2021","","","IEEE","IEEE Conferences"
"ORANGE: Outcome-Oriented Predictive Process Monitoring Based on Image Encoding and CNNs","V. Pasquadibisceglie; A. Appice; G. Castellano; D. Malerba; G. Modugno","Department of Computer Science, University of Bari Aldo Moro, Bari, Italy; Department of Computer Science, University of Bari Aldo Moro, Bari, Italy; Department of Computer Science, University of Bari Aldo Moro, Bari, Italy; Department of Computer Science, University of Bari Aldo Moro, Bari, Italy; MTM Project srl, Monopoli, Italy","IEEE Access","15 Oct 2020","2020","8","","184073","184086","The outcome-oriented predictive process monitoring is a family of predictive process mining techniques that have witnessed rapid development and increasing adoption in the past few years. Boosted by the recent successful applications of deep learning in predictive process mining, we propose ORANGE, a novel deep learning method for learning outcome-oriented predictive process models. The main innovation of this study is that we adopt an imagery representation of the ongoing traces, which delineates potential data patterns that arise at neighbour pixels. Leveraging a collection of images representing ongoing traces, we train a Convolutional Neural Network (CNN) to predict the outcome of an ongoing trace. The empirical study shows the feasibility of the proposed method by investigating its accuracy on different benchmark outcome prediction problems in comparison to state-of-art competitor methods. In addition, we show how ORANGE can be integrated as an Intelligent Assistant into a CVM realized by MTM Project srl company to support sales agents in their negotiations. This case study shows that ORANGE can be effectively used to smartly monitor the outcome of ongoing negotiations by early highlighting negotiations that are candidate to be completed successfully.","2169-3536","","10.1109/ACCESS.2020.3029323","Programma Operativo Nazionale Ricerca e Innovazione (PON-RI)-Big Data Analytics for Process Improvement in Organizational Development-Codice Unico di Progetto (CUP)(grant numbers:H94F180002600062014-2020); Programma Operativo Regionale (POR) Puglia Fondo Europeo di Sviluppo Regionale-Fondo Sociale Europeo (FESR-FSE)-Bando Innolabs from 2014 to 2020; Research Project Knowledge Community for Efficient Training (KOMETA) through Virtual Technologies; Regione Puglia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9216173","Predictive process analytics;outcome prediction;computer vision;convolutional neural networks;spatial data modeling","Monitoring;Feature extraction;Machine learning;Data mining;Computer vision;Predictive models;Computer architecture","data mining;image coding;learning (artificial intelligence);neural nets;process monitoring","sales agents;ORANGE project srl company;MTM;CVM;CNN;benchmark outcome prediction problems;ongoing trace;outcome-oriented predictive process models;deep learning method;predictive process mining;outcome-oriented predictive process monitoring","","1","","50","CCBY","7 Oct 2020","","","IEEE","IEEE Journals"
"Control-flow discovery from event streams","A. Burattin; A. Sperduti; W. M. P. van der Aalst","Department of Mathematics, University of Padua, Italy; Department of Mathematics, University of Padua, Italy; Department of Mathematics and Computer Science, Eindhoven University of Technology, The Netherlands","2014 IEEE Congress on Evolutionary Computation (CEC)","22 Sep 2014","2014","","","2420","2427","Process Mining represents an important research field that connects Business Process Modeling and Data Mining. One of the most prominent task of Process Mining is the discovery of a control-flow starting from event logs. This paper focuses on the important problem of control-flow discovery starting from a stream of event data. We propose to adapt Heuristics Miner, one of the most effective control-flow discovery algorithms, to the treatment of streams of event data. Two adaptations, based on Lossy Counting and Lossy Counting with Budget, as well as a sliding window based version of Heuristics Miner, are proposed and experimentally compared against both artificial and real streams. Experimental results show the effectiveness of control-flow discovery algorithms for streams on artificial and real datasets.","1941-0026","978-1-4799-1488-3","10.1109/CEC.2014.6900341","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6900341","","Data mining;Data structures;Heuristic algorithms;Business;Computational modeling;Frequency measurement;Educational institutions","business data processing;data mining","event streams;process mining;business process modeling;data mining;heuristics miner;control-flow discovery algorithms;lossy counting with budget;sliding window based version","","38","","30","","22 Sep 2014","","","IEEE","IEEE Conferences"
"Control-Flow Modeling with D<sc>eclare</sc>: Behavioral Properties, Computational Complexity, and Tools","V. Fionda; A. Guzzo","DeMaCS, University of Calabria, Rende, Italy; DeMaCS, University of Calabria, Rende, Italy","IEEE Transactions on Knowledge and Data Engineering","2 Apr 2020","2020","32","5","898","911","Declarative approaches to control-flow modeling use logic-based languages to formalize a number of constraints that valid traces must satisfy. The most noticeable example is the DECLARE framework based on linear temporal logic. Despite the interest that DECLARE has been attracting, the current knowledge about its formal properties was rather limited. The goal of this paper is to fill this gap by: (i) analyzing the behavioral properties of DECLARE by comparing it with the modeling capabilities of traditional procedural design approaches, in particular, block-structured processes; (ii) analyzing DECLARE from the computational point of view. As for the former point, we identify both the block-structured processes constructs that can be simulated in DECLARE and the features of DECLARE that can be encoded in block-structured processes. As for the latter point, we show that checking whether a given set of DECLARE patterns admits a satisfying trace is an NP-hard problem. In particular, we identify some DECLARE specifications whose satisfying traces are all of exponential length and some useful DECLARE fragments where a satisfying trace whose length is polynomially bounded is guaranteed to exist. The paper also discusses the declare2sat prototype system and the results of a thorough experimental validation.","1558-2191","","10.1109/TKDE.2019.2897309","POR project; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8633413","Declarative process modelling;linear temporal logic;declare;process mining","Lenses;Computational modeling;Process control;Tools;Analytical models;NP-hard problem;Computational complexity","computational complexity;formal specification;temporal logic","control-flow modeling;behavioral properties;declarative approaches;logic-based languages;DECLARE framework;linear temporal logic;formal properties;computational complexity;procedural design approaches;block-structured processes;NP-hard problem;declare2sat prototype system","","","","42","IEEE","3 Feb 2019","","","IEEE","IEEE Journals"
"Efficient Process Discovery From Event Streams Using Sequential Pattern Mining","M. Hassani; S. Siccha; F. Richter; T. Seidl","Data Manage. & Data Exploration Group, RWTH Aachen Univ., Aachen, Germany; Data Manage. & Data Exploration Group, RWTH Aachen Univ., Aachen, Germany; Data Manage. & Data Exploration Group, RWTH Aachen Univ., Aachen, Germany; Data Manage. & Data Exploration Group, RWTH Aachen Univ., Aachen, Germany","2015 IEEE Symposium Series on Computational Intelligence","11 Jan 2016","2015","","","1366","1373","Process mining is an emerging research area that applies the well-established data mining solutions to the challenging business process modeling problems. Mining streams of business processes in the real time as they are generated is a necessity to obtain an instant knowledge from big process data. In this paper, we introduce an efficient approach for exploring and counting process fragments from a stream of events to infer a process model using the Heuristics Miner algorithm. Our novel approach, called StrProM, builds prefix-trees to extract sequential patterns of events from the stream. StrProM uses a batch-based approach to continuously update and prune these prefix-trees. The final models are generated from those trees after applying a novel decaying mechanism over their statistics. The extensive experimental evaluation demonstrates the superiority of our approach over a state-of-the-art technique in terms of execution time using a real dataset, while delivering models of a comparable quality.","","978-1-4799-7560-0","10.1109/SSCI.2015.195","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7376771","","Data mining;Business;Heuristic algorithms;Adaptation models;Context modeling;Process modeling;Real-time systems","business data processing;data handling;data mining;pattern recognition;statistical analysis;trees (mathematics)","process discovery;event streams;sequential pattern mining;data mining;business process modeling;business process stream mining;heuristics miner algorithm;StrProM;sequential pattern extraction;batch-based approach;prefix-tree update;prefix-tree pruning;decaying mechanism;statistics","","23","","34","","11 Jan 2016","","","IEEE","IEEE Conferences"
"A Differentiate Analysis for Credit Card Fraud Detection","M. Akter Hossain; M. N. Uddin","Department of Computer Science & Engineering, East Delta University, Chattogram, Bangladesh; School of Science, Engineering & Technology, East Delta University, Chattogram, Bangladesh","2018 International Conference on Innovations in Science, Engineering and Technology (ICISET)","27 Jun 2019","2018","","","328","333","With the swift progress of internet and electronic commerce, online money transaction has increased over time. People mostly eager to use online money transference and because of the internet is now available almost everywhere. Therefore, any attackers could be plan attacks from anywhere to forage any victim. There was various way from the previous attacks that victims became hunts by duplicate copy of the website, cards, ID numbers, rearranging provisional codes, fake documentations or signatures and so on. The genuine transaction and fraudulent transactions are almost similar, that's why it's very hard to figure out a real or fake transaction. One way could be effective if we know the behavioral pattern of card's owner. In this manner, we have introduced a Fraud Detection Engine (FDE) along with a Feature Selection Tool (FST). After gets a transaction request, FDE engine have searched for any sorts of intruder based on its key selective features. FST is one of those feature, which have used to match the cluster patterns with the requester behavioral pattern. Cluster pattern are cardholder's behavioral patterns which have trained by using of feedforward neural network. Therefore, examine all of the key features with vector analytical method or simply vector method. Proposed technique has applied from collected and previously driven on many studies datasets.","","978-1-5386-8524-2","10.1109/ICISET.2018.8745592","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8745592","fraud detector;deep learning network;support vector machine","","credit transactions;electronic commerce;feedforward neural nets;fraud;Internet;security of data","differentiate analysis;credit card fraud detection;electronic commerce;online money transaction;online money transference;duplicate copy;website;ID numbers;provisional codes;fake documentations;signatures;genuine transaction;fraudulent transactions;real transaction;fake transaction;FST;transaction request;FDE engine;key selective features;cluster pattern;requester behavioral pattern;cardholder;feature selection tool;fraud detection engine","","3","","26","","27 Jun 2019","","","IEEE","IEEE Conferences"
"How can Machine Learning Support the Practice of Modeling and Simulation? —A Review and Directions for Future Research","M. Elbattah","Université de Picardie Jules Verne,Laboratoire MIS,Amiens,France","2019 IEEE/ACM 23rd International Symposium on Distributed Simulation and Real Time Applications (DS-RT)","16 Jan 2020","2019","","","1","7","The following topics are dealt with: traffic engineering computing; formal verification; cloud computing; digital simulation; road traffic; protocols; vehicular ad hoc networks; Internet of Things; mobile computing; energy consumption.","1550-6525","978-1-7281-2923-5","10.1109/DS-RT47707.2019.8958703","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8958703","","","cloud computing;formal verification;Internet of Things;mobile computing;road traffic;traffic engineering computing;vehicular ad hoc networks","traffic engineering computing;formal verification;cloud computing;digital simulation;road traffic;protocols;vehicular ad hoc networks;Internet of Things;mobile computing;energy consumption","","","","34","","16 Jan 2020","","","IEEE","IEEE Conferences"
